expansions,primary_total,primary_nonempty,secondary_total,secondary_nonempty,logical_nodes,logical_primary_nonempty,logical_secondary_nonempty,f_min,f_max,h_min_mean,h_min_stddev,h_max_mean,h_max_stddev,sec_per_pri_mean,sec_per_pri_stddev,nodes_per_sec_mean,nodes_per_sec_stddev
100000,16498,961,4393805,28337,16201,853,15781,10998,12970,3019.27,2596.65,3815.78,2367.08,29.487,26.4679,1.13082,0.42507
200000,16498,961,4393805,36178,15036,839,14519,10998,12970,2874.52,2641.01,3816.01,2367.31,37.6462,28.2703,1.19363,0.512831
300000,16498,961,4400793,42249,15841,783,15186,10998,12970,2806.34,2643.17,3816.5,2367.95,43.9636,30.6375,1.2258,0.562668
400000,16498,961,4400793,49072,17759,834,16896,10998,12970,2760.13,2678,3816.5,2367.95,51.0635,36.4574,1.2469,0.583341
500000,16498,961,4404225,51652,17567,795,16759,10998,12970,2747.28,2667.65,3817.04,2368.67,53.7482,36.1433,1.27073,0.613518
600000,16498,961,4404225,57595,19511,798,18587,10998,12970,2708.37,2678.05,3817.04,2368.67,59.9324,40.7837,1.28584,0.628727
700000,16498,961,4404225,61761,18583,791,17690,10998,12970,2696.78,2684.56,3817.04,2368.67,64.2674,44.6926,1.29582,0.645091
800000,16498,961,4404225,65560,19799,786,18826,10998,12970,2679.64,2676.68,3817.13,2368.78,68.2206,45.8039,1.30978,0.662351
900000,16498,961,4404225,69328,22880,786,21419,10998,12970,2652.71,2669.43,3817.13,2368.78,72.1415,47.1772,1.31986,0.673188
1000000,16498,961,4404225,73322,25624,796,24304,10998,12970,2636.71,2680.3,3817.13,2368.78,76.2976,52.4756,1.33021,0.68721
1100000,16498,961,4404225,77598,19858,755,18823,10998,12970,2623.69,2685.89,3817.13,2368.78,80.7471,57.3358,1.33143,0.686217
1200000,16498,961,4404225,80521,17861,763,17059,10998,12970,2613.33,2692.79,3817.13,2368.78,83.7888,61.8042,1.34156,0.695994
1300000,16498,961,4411117,79601,12461,730,12019,10998,12970,2623.15,2698.75,3817.82,2369.71,82.8314,63.9816,1.34875,0.700258
