environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns
grid,0,"A* with IndexedHeap (D=2)",19998,6716740,10321072,1988.62,2429472,7164728,8.07768e+08,6716740,4.94387e+08,0,0,3156345,1.98441e+08,0,3156345,0,1.5006e+09
grid,0,"ANA* with IndexedHeap (D=2)",19998,657434174,670934882,117841,2429832,657573568,3.34416e+10,657573568,4.32552e+10,623,4.75414e+08,13361315,6.91557e+08,0,663458509,0,7.78637e+10
grid,0,"ANA* with BucketHeap (D=2)",19998,598582119,611354182,83919.8,2429832,611354183,1.52874e+10,611354183,2.54543e+10,631,7.77793e+06,0,0,12398565,604757626,5.16226e+08,4.07495e+10
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,5790237,8898201,672.516,2429832,8898202,1.68463e+08,5790237,1.20639e+08,0,0,0,0,0,2719123,0,2.89102e+08
grid,0,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,600125314,612855339,85130.5,2429832,612855340,1.67239e+10,612855340,2.48598e+10,633,8.47121e+06,0,0,12356841,606260024,5.01242e+08,4.15922e+10
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,5790237,8898201,653.159,2429832,8898202,1.7001e+08,5790237,1.01574e+08,0,0,0,0,0,2719123,0,2.71584e+08
grid,0,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,435984000,446288485,48694.2,2429832,446288486,9.70398e+09,446288486,9.49856e+09,775,5.90722e+06,0,0,9841830,439696364,2.09468e+08,1.92084e+10
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,5790237,8898201,643.242,2429832,8898202,1.68029e+08,5790237,9.9908e+07,0,0,0,0,0,2719123,0,2.67937e+08
grid,0,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,390327124,399680394,42473.1,2429832,399680395,8.33345e+09,399680395,7.9693e+09,674,4.55549e+06,0,0,9195367,393077809,1.83348e+08,1.63073e+10
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,5790237,8898201,657.434,2429832,8898202,1.70313e+08,5790237,1.01271e+08,0,0,0,0,0,2719123,0,2.71584e+08
grid,0,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,361344102,369692221,39250.9,2429832,369692222,7.64398e+09,369692222,7.10808e+09,564,3.35052e+06,0,0,8188210,363096378,1.57435e+08,1.47554e+10
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,5790237,8898201,659.957,2429832,8898202,1.71803e+08,5790237,1.00629e+08,0,0,0,0,0,2719123,0,2.72432e+08
grid,0,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,325319370,332840616,36004.2,2429832,332840617,6.98235e+09,332840617,6.44448e+09,550,3.0071e+06,0,0,7281855,326362809,1.40992e+08,1.34298e+10
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,5790237,8898201,649.559,2429832,8898202,1.68372e+08,5790237,1.00253e+08,0,0,0,0,0,2719123,0,2.68625e+08
grid,0,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,351851929,359675162,37856.5,2429832,359675163,7.33835e+09,359675163,6.75935e+09,539,2.85826e+06,0,0,7635728,353073028,1.43498e+08,1.41006e+10
grid,1,"A* with IndexedHeap (D=2)",19998,6071175,9331484,1797.55,2588760,6476767,7.158e+08,6071175,4.56555e+08,0,0,2854718,1.82098e+08,0,2854718,0,1.35445e+09
grid,1,"ANA* with IndexedHeap (D=2)",19998,636646564,650186744,112029,2588944,636771312,3.19e+10,636771312,4.10806e+10,474,3.8208e+08,13415433,6.88717e+08,0,643099408,0,7.40514e+10
grid,1,"ANA* with BucketHeap (D=2)",19998,599658628,611394517,83820.7,2588944,611394518,1.51532e+10,611394518,2.50832e+10,827,8.80955e+06,0,0,11624000,604727396,4.76888e+08,4.02451e+10
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,5757810,8851730,666.564,2588944,8851731,1.67429e+08,5757810,1.19817e+08,0,0,0,0,0,2709678,0,2.87246e+08
grid,1,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,597773969,609506856,84823.2,2588944,609506857,1.67659e+10,609506857,2.46024e+10,826,9.69422e+06,0,0,11621084,602839593,4.69079e+08,4.13781e+10
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,5757810,8851730,680.116,2588944,8851731,1.74276e+08,5757810,1.05895e+08,0,0,0,0,0,2709678,0,2.80171e+08
grid,1,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,376889752,385370461,43288.1,2588944,385370462,8.61021e+09,385370462,8.40638e+09,611,5.28e+06,0,0,8366909,378940017,1.82514e+08,1.70219e+10
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,5757810,8851730,651.038,2588944,8851731,1.68288e+08,5757810,1.01645e+08,0,0,0,0,0,2709678,0,2.69933e+08
grid,1,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,341782304,349943658,37878.2,2588944,349943659,7.42339e+09,349943659,7.0466e+09,564,3.65853e+06,0,0,8002914,343543330,1.6115e+08,1.44736e+10
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,5757810,8851730,648.017,2588944,8851731,1.6871e+08,5757810,1.00108e+08,0,0,0,0,0,2709678,0,2.68818e+08
grid,1,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,337816005,345758965,36495.4,2588944,345758966,7.11165e+09,345758966,6.65406e+09,563,3.27706e+06,0,0,7788245,339351842,1.49883e+08,1.3769e+10
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,5757810,8851730,648.658,2588944,8851731,1.67804e+08,5757810,9.9166e+07,0,0,0,0,0,2709678,0,2.6697e+08
grid,1,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,337124990,345099631,35965.9,2588944,345099632,6.98781e+09,345099632,6.44492e+09,529,2.97185e+06,0,0,7793099,338694739,1.4554e+08,1.34357e+10
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,5757810,8851730,642.72,2588944,8851731,1.66588e+08,5757810,9.99475e+07,0,0,0,0,0,2709678,0,2.66535e+08
grid,1,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,335432548,342777698,35452.7,2588944,342777699,6.86264e+09,342777699,6.31949e+09,566,2.76402e+06,0,0,7148365,336368752,1.31788e+08,1.31849e+10
grid,2,"A* with IndexedHeap (D=2)",19998,6158542,9466098,1763.04,2588944,6570134,7.02813e+08,6158542,4.48436e+08,0,0,2895965,1.80572e+08,0,2895965,0,1.33182e+09
grid,2,"ANA* with IndexedHeap (D=2)",19998,555343335,565453902,97324.1,2588944,555617559,2.77474e+10,555617559,3.5725e+10,511,3.68773e+08,9836344,4.79175e+08,0,558293757,0,6.43203e+10
grid,2,"ANA* with BucketHeap (D=2)",19998,626288482,639294263,87196.4,2588944,639294264,1.60305e+10,639294264,2.60983e+10,770,9.65347e+06,0,0,12861370,631856693,5.25047e+08,4.21384e+10
grid,2,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,6159609,9467789,730.165,2588944,9467790,1.83475e+08,6159609,1.3145e+08,0,0,0,0,0,2895836,0,3.14925e+08
grid,2,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,625759509,638838729,88636.7,2588944,638838730,1.75953e+10,638838730,2.55283e+10,770,1.09766e+07,0,0,12934767,631401163,5.16879e+08,4.31345e+10
grid,2,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,6159609,9467789,681.391,2588944,9467790,1.7651e+08,6159609,1.06747e+08,0,0,0,0,0,2895836,0,2.83258e+08
grid,2,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,433483416,444252841,48448.9,2588944,444252842,9.66018e+09,444252842,9.40558e+09,786,6.16472e+06,0,0,10618672,437234172,2.24815e+08,1.90719e+10
grid,2,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,6159609,9467789,682.549,2588944,9467790,1.77056e+08,6159609,1.05661e+08,0,0,0,0,0,2895836,0,2.82717e+08
grid,2,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,397252158,407714531,43189.3,2588944,407714532,8.47768e+09,407714532,8.03426e+09,734,4.94238e+06,0,0,10290303,400861352,2.02777e+08,1.65169e+10
grid,2,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,6159609,9467789,681.859,2588944,9467790,1.77094e+08,6159609,1.05671e+08,0,0,0,0,0,2895836,0,2.82765e+08
grid,2,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,346964177,354493060,37179.4,2588944,354493061,7.24813e+09,354493061,6.75266e+09,643,3.74709e+06,0,0,7299947,347643973,1.39055e+08,1.40045e+10
grid,2,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,6159609,9467789,700.703,2588944,9467790,1.8251e+08,6159609,1.0754e+08,0,0,0,0,0,2895836,0,2.9005e+08
grid,2,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,340690256,348854193,36258.8,2588944,348854194,7.05028e+09,348854194,6.49319e+09,604,3.18646e+06,0,0,7880009,342005942,1.4667e+08,1.35467e+10
grid,2,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,6159609,9467789,682.035,2588944,9467790,1.79059e+08,6159609,1.0573e+08,0,0,0,0,0,2895836,0,2.8479e+08
grid,2,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,324964784,331793883,34267.6,2588944,331793884,6.65596e+09,331793884,6.10701e+09,536,2.90621e+06,0,0,6651715,324931670,1.22432e+08,1.27659e+10
grid,3,"A* with IndexedHeap (D=2)",19998,6803109,10454173,1936.94,2592664,7255681,7.26559e+08,6803109,5.11205e+08,0,0,3198493,2.03902e+08,0,3198493,0,1.44167e+09
grid,3,"ANA* with IndexedHeap (D=2)",19998,600988681,613631649,107569,2592664,601080955,3.05659e+10,601080955,3.94686e+10,624,4.66091e+08,12550695,6.28554e+08,0,605915710,0,7.11292e+10
grid,3,"ANA* with BucketHeap (D=2)",19998,546459082,556219102,76053.6,2592664,556219103,1.38738e+10,556219103,2.30026e+10,709,8.6467e+06,0,0,9649807,549169255,3.99071e+08,3.68851e+10
grid,3,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,5800448,8912811,688.392,2592664,8912812,1.7397e+08,5800448,1.23971e+08,0,0,0,0,0,2724222,0,2.97941e+08
grid,3,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,546333068,556095871,76832.1,2592664,556095872,1.51829e+10,556095872,2.233e+10,709,9.27807e+06,0,0,9652625,549048405,3.876e+08,3.75221e+10
grid,3,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,5800448,8912811,644.12,2592664,8912812,1.66419e+08,5800448,1.00304e+08,0,0,0,0,0,2724222,0,2.66723e+08
grid,3,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,390708387,401172767,43504.7,2592664,401172768,8.67654e+09,401172768,8.43295e+09,722,5.40834e+06,0,0,10096922,394496069,2.12245e+08,1.71149e+10
grid,3,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,5800448,8912811,642.529,2592664,8912812,1.66789e+08,5800448,9.94544e+07,0,0,0,0,0,2724222,0,2.66243e+08
grid,3,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,342252762,350870198,37087.7,2592664,350870199,7.29435e+09,350870199,6.92449e+09,588,4.06259e+06,0,0,8439238,344174912,1.6655e+08,1.42229e+10
grid,3,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,5800448,8912811,639.939,2592664,8912812,1.658e+08,5800448,9.84216e+07,0,0,0,0,0,2724222,0,2.64221e+08
grid,3,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,326715072,335006028,34934.5,2592664,335006029,6.80447e+09,335006029,6.36284e+09,607,3.77726e+06,0,0,8025032,328298838,1.52421e+08,1.31711e+10
grid,3,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,5800448,8912811,651.316,2592664,8912812,1.69015e+08,5800448,1.00769e+08,0,0,0,0,0,2724222,0,2.69783e+08
grid,3,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,301366014,308430995,32516.2,2592664,308430996,6.30964e+09,308430996,5.83923e+09,418,2.56146e+06,0,0,6791316,301974439,1.28574e+08,1.21514e+10
grid,3,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,5800448,8912811,674.588,2592664,8912812,1.74113e+08,5800448,1.03685e+08,0,0,0,0,0,2724222,0,2.77798e+08
grid,3,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,328729572,334612776,35535.1,2592664,334612777,6.88677e+09,334612777,6.32681e+09,514,3.09675e+06,0,0,5508046,327891892,1.04145e+08,1.32167e+10
grid,4,"A* with IndexedHeap (D=2)",19998,6373927,9793227,1862.1,2592664,6798770,7.26042e+08,6373927,4.80153e+08,0,0,2994458,1.94509e+08,0,2994458,0,1.4007e+09
grid,4,"ANA* with IndexedHeap (D=2)",19998,646781487,658833016,113515,2592664,646854375,3.22657e+10,646854375,4.1586e+10,839,5.21469e+08,11978642,5.82071e+08,0,651566575,0,7.49553e+10
grid,4,"ANA* with BucketHeap (D=2)",19998,633973861,645646267,87398,2592664,645646268,1.5945e+10,645646268,2.63615e+10,756,9.9136e+06,0,0,11532095,638345162,4.70851e+08,4.23163e+10
grid,4,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,6282871,9656577,726.729,2592664,9656578,1.82952e+08,6282871,1.30437e+08,0,0,0,0,0,2953579,0,3.13388e+08
grid,4,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,633974618,645647257,88794.3,2592664,645647258,1.75782e+10,645647258,2.57409e+10,756,1.06472e+07,0,0,11532317,638346149,4.59774e+08,4.33297e+10
grid,4,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,6282871,9656577,700.352,2592664,9656578,1.81587e+08,6282871,1.09223e+08,0,0,0,0,0,2953579,0,2.9081e+08
grid,4,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,465182002,475294329,52893.8,2592664,475294330,1.05471e+10,475294330,1.02338e+10,673,6.02574e+06,0,0,9962876,468289505,2.14515e+08,2.07869e+10
grid,4,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,6282871,9656577,760.383,2592664,9656578,1.97464e+08,6282871,1.16449e+08,0,0,0,0,0,2953579,0,3.13914e+08
grid,4,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,400650304,410720101,44678.4,2592664,410720102,8.77461e+09,410720102,8.31066e+09,692,5.08436e+06,0,0,9888808,403709387,2.00094e+08,1.70904e+10
grid,4,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,6282871,9656577,704.858,2592664,9656578,1.8574e+08,6282871,1.08707e+08,0,0,0,0,0,2953579,0,2.94447e+08
grid,4,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,369468491,377965975,39439.2,2592664,377965976,7.67454e+09,377965976,7.14518e+09,696,4.15205e+06,0,0,8301169,370958664,1.56928e+08,1.48239e+10
grid,4,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,6282871,9656577,697.18,2592664,9656578,1.81951e+08,6282871,1.06654e+08,0,0,0,0,0,2953579,0,2.88605e+08
grid,4,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,361750255,370119149,38411.3,2592664,370119150,7.43176e+09,370119150,6.89024e+09,578,3.38407e+06,0,0,8126478,363110572,1.51285e+08,1.43254e+10
grid,4,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,6282871,9656577,691.905,2592664,9656578,1.7876e+08,6282871,1.06109e+08,0,0,0,0,0,2953579,0,2.84869e+08
grid,4,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,356294647,362286088,37414.9,2592664,362286089,7.23145e+09,362286089,6.6718e+09,602,3.29113e+06,0,0,5797731,355277922,1.0677e+08,1.39065e+10
grid,5,"A* with IndexedHeap (D=2)",19998,6668415,10246523,1914.33,2598400,7112424,7.33351e+08,6668415,5.06605e+08,0,0,3134100,1.9824e+08,0,3134100,0,1.4382e+09
grid,5,"ANA* with IndexedHeap (D=2)",19998,626071563,637692265,109250,2598616,626164880,3.11897e+10,626164880,4.00795e+10,452,3.20205e+08,11527386,5.63112e+08,0,630107599,0,7.21525e+10
grid,5,"ANA* with BucketHeap (D=2)",19998,605803036,617708675,84220.7,2598616,617708676,1.5314e+10,617708676,2.50478e+10,668,8.83369e+06,0,0,11755203,610631694,4.76669e+08,4.03707e+10
grid,5,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,6184885,9506432,742.255,2598616,9506433,1.8438e+08,6184885,1.32182e+08,0,0,0,0,0,2907719,0,3.16562e+08
grid,5,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,600222283,612071721,84992.4,2598616,612071722,1.67277e+10,612071722,2.43174e+10,665,9.63378e+06,0,0,11698799,604994773,4.64789e+08,4.10547e+10
grid,5,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,6184885,9506432,690.15,2598616,9506433,1.77765e+08,6184885,1.06852e+08,0,0,0,0,0,2907719,0,2.84617e+08
grid,5,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,458421656,469361131,51703,2598616,469361132,1.02002e+10,469361132,9.93099e+09,822,6.51709e+06,0,0,10729417,462426004,2.27019e+08,2.01377e+10
grid,5,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,6184885,9506432,695.172,2598616,9506433,1.78484e+08,6184885,1.06577e+08,0,0,0,0,0,2907719,0,2.85061e+08
grid,5,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,402784175,412850971,44108,2598616,412850972,8.57762e+09,412850972,8.1208e+09,759,5.03333e+06,0,0,9798529,405942280,1.92738e+08,1.67035e+10
grid,5,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,6184885,9506432,676.202,2598616,9506433,1.75566e+08,6184885,1.04549e+08,0,0,0,0,0,2907719,0,2.80115e+08
grid,5,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,364674237,372732706,38811.1,2598616,372732707,7.57268e+09,372732707,7.06828e+09,694,3.93798e+06,0,0,7903064,365833379,1.49869e+08,1.46449e+10
grid,5,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,6184885,9506432,705.11,2598616,9506433,1.85244e+08,6184885,1.09099e+08,0,0,0,0,0,2907719,0,2.94343e+08
grid,5,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,367075057,375088977,38959.8,2598616,375088978,7.5828e+09,375088978,7.02406e+09,615,3.36328e+06,0,0,7484650,368184473,1.4016e+08,1.46102e+10
grid,5,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,6184885,9506432,688.385,2598616,9506433,1.77959e+08,6184885,1.06341e+08,0,0,0,0,0,2907719,0,2.84301e+08
grid,5,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,356583897,364247554,37446.3,2598616,364247555,7.26208e+09,364247555,6.69573e+09,540,2.90821e+06,0,0,7409387,357343547,1.36202e+08,1.39607e+10
grid,6,"A* with IndexedHeap (D=2)",19998,6833394,10502555,1936.82,2598616,7288842,7.38611e+08,6833394,5.05934e+08,0,0,3213714,2.02165e+08,0,3213714,0,1.44671e+09
