environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns,instance_number
grid,0,A* with IndexedHeap (D=2),19998,6716740,10321072,1988.62,2429472,7164728,807768000.0,6716740,494387000.0,0,0.0,3156345,198441000.0,0,3156345,0.0,1500600000.0,1
grid,0,ANA* with IndexedHeap (D=2),19998,657434174,670934882,117841.0,2429832,657573568,33441600000.0,657573568,43255200000.0,623,475414000.0,13361315,691557000.0,0,663458509,0.0,77863700000.0,2
grid,0,ANA* with BucketHeap (D=2),19998,598582119,611354182,83919.8,2429832,611354183,15287400000.0,611354183,25454300000.0,631,7777930.0,0,0.0,12398565,604757626,516226000.0,40749500000.0,3
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,5790237,8898201,672.516,2429832,8898202,168463000.0,5790237,120639000.0,0,0.0,0,0.0,0,2719123,0.0,289102000.0,4
grid,0,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,600125314,612855339,85130.5,2429832,612855340,16723900000.0,612855340,24859800000.0,633,8471210.0,0,0.0,12356841,606260024,501242000.0,41592200000.0,5
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,5790237,8898201,653.159,2429832,8898202,170010000.0,5790237,101574000.0,0,0.0,0,0.0,0,2719123,0.0,271584000.0,6
grid,0,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,435984000,446288485,48694.2,2429832,446288486,9703980000.0,446288486,9498560000.0,775,5907220.0,0,0.0,9841830,439696364,209468000.0,19208400000.0,7
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,5790237,8898201,643.242,2429832,8898202,168029000.0,5790237,99908000.0,0,0.0,0,0.0,0,2719123,0.0,267937000.0,8
grid,0,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,390327124,399680394,42473.1,2429832,399680395,8333450000.0,399680395,7969300000.0,674,4555490.0,0,0.0,9195367,393077809,183348000.0,16307300000.0,9
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,5790237,8898201,657.434,2429832,8898202,170313000.0,5790237,101271000.0,0,0.0,0,0.0,0,2719123,0.0,271584000.0,10
grid,0,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,361344102,369692221,39250.9,2429832,369692222,7643980000.0,369692222,7108080000.0,564,3350520.0,0,0.0,8188210,363096378,157435000.0,14755400000.0,11
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,5790237,8898201,659.957,2429832,8898202,171803000.0,5790237,100629000.0,0,0.0,0,0.0,0,2719123,0.0,272432000.0,12
grid,0,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,325319370,332840616,36004.2,2429832,332840617,6982350000.0,332840617,6444480000.0,550,3007100.0,0,0.0,7281855,326362809,140992000.0,13429800000.0,13
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,5790237,8898201,649.559,2429832,8898202,168372000.0,5790237,100253000.0,0,0.0,0,0.0,0,2719123,0.0,268625000.0,14
grid,0,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,351851929,359675162,37856.5,2429832,359675163,7338350000.0,359675163,6759350000.0,539,2858260.0,0,0.0,7635728,353073028,143498000.0,14100600000.0,15
grid,1,A* with IndexedHeap (D=2),19998,6071175,9331484,1797.55,2588760,6476767,715800000.0,6071175,456555000.0,0,0.0,2854718,182098000.0,0,2854718,0.0,1354450000.0,16
grid,1,ANA* with IndexedHeap (D=2),19998,636646564,650186744,112029.0,2588944,636771312,31900000000.0,636771312,41080600000.0,474,382080000.0,13415433,688717000.0,0,643099408,0.0,74051400000.0,17
