environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns
random_grid,0,"ANA* with IndexedHeap (D=2)",21250,52652755,60800903,11481.1,610804,52652755,2.09086e+09,52652755,4.31248e+09,739,3.91332e+08,8148149,3.34257e+08,0,40841921,0,7.12893e+09
random_grid,0,"ANA* with RealBucketHeap (a=1, b=1, D=2)",21250,50653362,58590492,15175.7,2571420,58590493,4.26141e+09,58590493,5.95041e+09,587,7.37284e+07,0,0,7937131,38631510,8.0609e+08,1.02856e+10
random_grid,0,"ANA* with RealBucketHeap (a=25, b=1, D=2)",21250,67826302,75374521,10583,2571420,75374522,2.64187e+09,75374522,2.85281e+09,607,4.55324e+07,0,0,7547009,55415539,2.85643e+08,5.54021e+09
random_grid,0,"ANA* with RealBucketHeap (a=50, b=1, D=2)",21250,62422950,69434891,8715.54,2571420,69434892,2.05341e+09,69434892,2.13567e+09,471,3.94648e+07,0,0,7010663,49475909,2.15633e+08,4.22854e+09
random_grid,0,"ANA* with RealBucketHeap (a=100, b=1, D=2)",21250,104036347,113309981,12617.4,2571420,113309982,2.86274e+09,113309982,2.89444e+09,399,4.10919e+07,0,0,9270115,93350999,2.368e+08,5.79827e+09
random_grid,0,"ANA* with RealBucketHeap (a=150, b=1, D=2)",21250,106246595,115888999,12558.9,2571420,115889000,2.78801e+09,115889000,2.72854e+09,267,3.57603e+07,0,0,9639097,95930017,2.26947e+08,5.55231e+09
random_grid,0,"ANA* with RealBucketHeap (a=200, b=1, D=2)",21250,131805769,143711500,14786.9,2571420,143711501,3.23826e+09,143711501,3.13828e+09,212,3.11061e+07,0,0,11898672,123752518,2.59835e+08,6.40764e+09
random_grid,0,"ANA* with RealBucketHeap (a=250, b=1, D=2)",21250,141845767,154339897,16011.8,2571420,154339898,3.45621e+09,154339898,3.33066e+09,206,3.00994e+07,0,0,12488536,134380915,2.69503e+08,6.81697e+09
random_grid,1,"ANA* with IndexedHeap (D=2)",21257,61227148,69294940,12664.2,2571420,61227161,2.35895e+09,61227161,4.92088e+09,441,1.59565e+08,8067780,3.28343e+08,0,49333310,0,7.76774e+09
random_grid,1,"ANA* with RealBucketHeap (a=1, b=1, D=2)",21257,50039279,57866795,14095.6,2590240,57866796,3.73264e+09,57866796,5.64444e+09,333,4.08673e+07,0,0,7825146,37905165,7.6328e+08,9.41794e+09
random_grid,1,"ANA* with RealBucketHeap (a=25, b=1, D=2)",21257,57272561,64425700,9098.67,2590240,64425701,2.29264e+09,64425701,2.43895e+09,448,3.0393e+07,0,0,7151540,44464068,2.70734e+08,4.76198e+09
random_grid,1,"ANA* with RealBucketHeap (a=50, b=1, D=2)",21257,65106738,72337756,8949.57,2590240,72337757,2.13015e+09,72337757,2.21159e+09,342,2.72606e+07,0,0,7229660,52376123,2.21033e+08,4.369e+09
random_grid,1,"ANA* with RealBucketHeap (a=100, b=1, D=2)",21257,82201393,90513254,9692.07,2590240,90513255,2.21712e+09,90513255,2.18655e+09,367,2.93388e+07,0,0,8309156,70551621,2.00726e+08,4.43301e+09
random_grid,1,"ANA* with RealBucketHeap (a=150, b=1, D=2)",21257,101865737,111497887,11833.9,2590240,111497888,2.63915e+09,111497888,2.56241e+09,242,2.29137e+07,0,0,9628208,91536254,2.21273e+08,5.22447e+09
random_grid,1,"ANA* with RealBucketHeap (a=200, b=1, D=2)",21257,110301088,120818407,12494.1,2590240,120818408,2.74821e+09,120818408,2.6244e+09,238,2.57094e+07,0,0,10513083,100856774,2.28364e+08,5.39833e+09
random_grid,1,"ANA* with RealBucketHeap (a=250, b=1, D=2)",21257,133670415,145956739,14524.1,2590240,145956740,3.14725e+09,145956740,3.03978e+09,221,2.35878e+07,0,0,12278762,125995106,2.55725e+08,6.21062e+09
random_grid,2,"ANA* with IndexedHeap (D=2)",21212,66607890,74833410,13551.8,2590240,66607899,2.64864e+09,66607899,5.22592e+09,608,2.62288e+08,8225512,3.34027e+08,0,54874705,0,8.47087e+09
random_grid,2,"ANA* with RealBucketHeap (a=1, b=1, D=2)",21212,45136481,52296424,12530.8,2590240,52296425,3.27934e+09,52296425,5.02937e+09,399,4.64489e+07,0,0,7159035,32337717,6.88488e+08,8.35516e+09
random_grid,2,"ANA* with RealBucketHeap (a=25, b=1, D=2)",21212,59145938,66131631,9108.6,2590240,66131632,2.28259e+09,66131632,2.46493e+09,538,3.44708e+07,0,0,6984525,46172925,2.60334e+08,4.78198e+09
random_grid,2,"ANA* with RealBucketHeap (a=50, b=1, D=2)",21212,79390760,86984247,10992.1,2590240,86984248,2.63102e+09,86984248,2.7567e+09,342,2.72801e+07,0,0,7591496,67025539,2.40589e+08,5.41501e+09
random_grid,2,"ANA* with RealBucketHeap (a=100, b=1, D=2)",21212,85992247,94074490,10227.4,2590240,94074491,2.33809e+09,94074491,2.33075e+09,168,1.65219e+07,0,0,8079741,74115782,2.00181e+08,4.68537e+09
random_grid,2,"ANA* with RealBucketHeap (a=150, b=1, D=2)",21212,95045901,104401051,10925.3,2590240,104401052,2.42529e+09,104401052,2.34718e+09,169,1.44385e+07,0,0,9352513,84442343,2.10266e+08,4.7869e+09
random_grid,2,"ANA* with RealBucketHeap (a=200, b=1, D=2)",21212,106597716,116907880,12042.1,2590240,116907881,2.6502e+09,116907881,2.49865e+09,75,7.38392e+06,0,0,10307614,96949172,2.20302e+08,5.15623e+09
random_grid,2,"ANA* with RealBucketHeap (a=250, b=1, D=2)",21212,112484964,123486063,12299.7,2590240,123486064,2.64492e+09,123486064,2.49892e+09,198,2.02653e+07,0,0,10992907,103527355,2.22457e+08,5.1641e+09
random_grid,3,"ANA* with IndexedHeap (D=2)",21239,46346530,53832603,10429.7,2590240,46346548,1.79944e+09,46346548,4.03304e+09,987,2.33979e+08,7486056,3.21245e+08,0,33875208,0,6.3877e+09
random_grid,3,"ANA* with RealBucketHeap (a=1, b=1, D=2)",21239,52883679,60892564,14363.2,2590240,60892565,3.72835e+09,60892565,5.77322e+09,388,4.65746e+07,0,0,8008080,40935169,7.59246e+08,9.54815e+09
random_grid,3,"ANA* with RealBucketHeap (a=25, b=1, D=2)",21239,62202551,69400654,9253.81,2590240,69400655,2.31444e+09,69400655,2.50246e+09,242,1.37279e+07,0,0,7197284,49443257,2.59521e+08,4.83063e+09
random_grid,3,"ANA* with RealBucketHeap (a=50, b=1, D=2)",21239,79871847,87780677,11081.8,2590240,87780678,2.64541e+09,87780678,2.77452e+09,367,2.8682e+07,0,0,7907033,67823280,2.49921e+08,5.44861e+09
random_grid,3,"ANA* with RealBucketHeap (a=100, b=1, D=2)",21239,93865635,102738665,11159.6,2590240,102738666,2.56048e+09,102738666,2.51731e+09,238,2.40175e+07,0,0,8871203,82781268,2.17363e+08,5.10181e+09
random_grid,3,"ANA* with RealBucketHeap (a=150, b=1, D=2)",21239,101935091,111677029,11713,2590240,111677030,2.61767e+09,111677030,2.52121e+09,136,1.35558e+07,0,0,9738852,91719632,2.19863e+08,5.15243e+09
random_grid,3,"ANA* with RealBucketHeap (a=200, b=1, D=2)",21239,127259715,138777747,14387.3,2590240,138777748,3.17788e+09,138777748,3.06068e+09,257,2.74343e+07,0,0,11510682,118820350,2.53862e+08,6.26599e+09
random_grid,3,"ANA* with RealBucketHeap (a=250, b=1, D=2)",21239,140381955,152867754,15423.4,2590240,152867755,3.35032e+09,152867755,3.19318e+09,123,1.54707e+07,0,0,12481452,132910357,2.60719e+08,6.55897e+09
random_grid,4,"ANA* with IndexedHeap (D=2)",21290,99324051,109081371,19669.6,2590240,99324056,3.87247e+09,99324056,7.7895e+09,429,2.58442e+08,9757316,3.99281e+08,0,89117990,0,1.23197e+10
random_grid,4,"ANA* with RealBucketHeap (a=1, b=1, D=2)",21290,98551585,108459277,24038.2,2699340,108459278,5.97191e+09,108459278,9.86547e+09,654,8.06314e+07,0,0,9905441,88495896,9.01001e+08,1.5918e+10
random_grid,4,"ANA* with RealBucketHeap (a=25, b=1, D=2)",21290,111989161,120816263,15900.1,2699340,120816264,3.99604e+09,120816264,4.53629e+09,767,5.19354e+07,0,0,8826174,100852882,3.31396e+08,8.58427e+09
random_grid,4,"ANA* with RealBucketHeap (a=50, b=1, D=2)",21290,129724927,138572329,17204.1,2699340,138572330,4.15236e+09,138572330,4.50524e+09,526,4.50117e+07,0,0,8846056,118608948,2.87602e+08,8.70262e+09
random_grid,4,"ANA* with RealBucketHeap (a=100, b=1, D=2)",21290,157682152,168238949,18245.3,2699340,168238950,4.22773e+09,168238950,4.35567e+09,675,6.56467e+07,0,0,10554628,148275568,2.73257e+08,8.64904e+09
random_grid,4,"ANA* with RealBucketHeap (a=150, b=1, D=2)",21290,167034778,177906145,19158.6,2699340,177906146,4.31829e+09,177906146,4.35286e+09,335,3.82221e+07,0,0,10869925,157942764,2.65956e+08,8.70937e+09
random_grid,4,"ANA* with RealBucketHeap (a=200, b=1, D=2)",21290,158214010,170449699,17344.9,2699340,170449700,3.84976e+09,170449700,3.76968e+09,301,3.88722e+07,0,0,12231979,150486318,2.70523e+08,7.65831e+09
