environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns
msa,0,"A* with IndexedHeap (D=2)",64036,9387074,25063816,40581.4,1633772,15715679,5.42416e+08,9387074,3.6986e+09,0,0,9348138,1.34879e+09,0,9348138,0,5.58981e+09
msa,0,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",64036,9387074,25061929,40326,7081140,25061930,7.19485e+09,15273806,2.81887e+09,0,0,0,0,5886732,9346251,1.08643e+09,1.00137e+10
msa,0,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",64036,9387074,25039355,34850,7081140,25039356,3.90285e+09,15260738,7.01823e+08,0,0,0,0,5873664,9323677,2.70123e+08,4.60467e+09
msa,0,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",64036,9387074,25028887,32932,7081140,25028888,3.1649e+09,15254385,5.41519e+08,0,0,0,0,5867311,9313209,2.08285e+08,3.70642e+09
msa,0,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",64036,9387074,25021823,32078.5,7081140,25021824,2.64161e+09,15250043,4.52568e+08,0,0,0,0,5862969,9306145,1.73992e+08,3.09418e+09
msa,0,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",64036,9387074,25019200,31922.9,7081140,25019201,2.43447e+09,15248483,4.25664e+08,0,0,0,0,5861409,9303522,1.63622e+08,2.86014e+09
msa,0,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",64036,9387074,25017513,33056.8,7081140,25017514,2.35383e+09,15247480,4.11852e+08,0,0,0,0,5860406,9301835,1.58296e+08,2.76569e+09
msa,1,"A* with IndexedHeap (D=2)",63973,11276087,29622814,46247.8,7081140,18500954,6.20864e+08,11276087,4.36793e+09,0,0,11121861,1.56654e+09,0,11121861,0,6.55533e+09
msa,1,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",63973,11276087,29620620,49227.3,7478076,29620621,7.79549e+09,18392311,3.30439e+09,0,0,0,0,7116224,11119667,1.27851e+09,1.10999e+10
msa,1,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",63973,11276087,29584012,40478.2,7478076,29584013,4.45346e+09,18370751,7.99108e+08,0,0,0,0,7094664,11083059,3.0861e+08,5.25257e+09
msa,1,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",63973,11276087,29571547,39395.3,7478076,29571548,3.63029e+09,18362799,6.21742e+08,0,0,0,0,7086712,11070594,2.39947e+08,4.25203e+09
msa,1,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",63973,11276087,29563003,39289.3,7478076,29563004,3.17913e+09,18357712,5.42224e+08,0,0,0,0,7081625,11062050,2.09167e+08,3.72135e+09
msa,1,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",63973,11276087,29559314,39005.2,7478076,29559315,2.91236e+09,18355495,5.12977e+08,0,0,0,0,7079408,11058361,1.97847e+08,3.42534e+09
msa,1,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",63973,11276087,29557639,38338.8,7478076,29557640,2.70456e+09,18354555,4.89599e+08,0,0,0,0,7078468,11056686,1.88815e+08,3.19416e+09
msa,2,"A* with IndexedHeap (D=2)",64460,11708978,30731950,47393.9,7478076,19032169,6.32613e+08,11708978,4.504e+09,0,0,11699782,1.63817e+09,0,11699782,0,6.77478e+09
msa,2,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",64460,11708978,30730093,49432.6,7603984,30730094,7.98187e+09,19319154,3.68106e+09,0,0,0,0,7610176,11697925,1.45004e+09,1.16629e+10
msa,2,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",64460,11708978,30697480,41908.8,7603984,30697481,4.52334e+09,19300013,8.1419e+08,0,0,0,0,7591035,11665312,3.20235e+08,5.33753e+09
msa,2,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",64460,11708978,30683885,40866.7,7603984,30683886,3.80909e+09,19291634,6.41851e+08,0,0,0,0,7582656,11651717,2.52282e+08,4.45094e+09
msa,2,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",64460,11708978,30674598,40200.5,7603984,30674599,3.29255e+09,19285809,5.56357e+08,0,0,0,0,7576831,11642430,2.18576e+08,3.8489e+09
msa,2,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",64460,11708978,30670867,40631.2,7603984,30670868,3.06607e+09,19283607,5.34495e+08,0,0,0,0,7574629,11638699,2.09951e+08,3.60056e+09
msa,2,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",64460,11708978,30668858,40778.5,7603984,30668859,2.9151e+09,19282376,5.142e+08,0,0,0,0,7573398,11636690,2.01959e+08,3.4293e+09
msa,3,"A* with IndexedHeap (D=2)",62655,1010979,3532831,4047.94,7603984,2343291,6.99293e+07,1010979,2.97494e+08,0,0,1189541,1.28952e+08,0,1189541,0,4.96375e+08
msa,3,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",62655,1010979,3532705,5040.54,7603984,3532706,1.53571e+09,1576240,3.50703e+08,0,0,0,0,565261,1189415,1.25767e+08,1.88642e+09
msa,3,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",62655,1010979,3529846,3681.58,7603984,3529847,6.09553e+08,1575062,1.17007e+08,0,0,0,0,564083,1186556,4.19043e+07,7.2656e+08
msa,3,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",62655,1010979,3528041,3527.38,7603984,3528042,4.83417e+08,1574231,8.704e+07,0,0,0,0,563252,1184751,3.11425e+07,5.70457e+08
msa,3,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",62655,1010980,3527012,3373,7603984,3527013,3.68022e+08,1573816,7.07071e+07,0,0,0,0,562836,1183722,2.52866e+07,4.38729e+08
msa,3,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",62655,1010979,3526609,3344.57,7603984,3526610,3.31921e+08,1573592,6.27348e+07,0,0,0,0,562613,1183319,2.24298e+07,3.94656e+08
msa,3,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",62655,1010980,3526393,3265.19,7603984,3526394,2.99319e+08,1573522,5.65529e+07,0,0,0,0,562542,1183103,2.0218e+07,3.55872e+08
msa,4,"A* with IndexedHeap (D=2)",63278,9313989,24577669,37245.4,7603984,15292098,4.75587e+08,9313989,3.44847e+09,0,0,9285572,1.2581e+09,0,9285572,0,5.18216e+09
msa,4,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",63278,9313989,24575825,39533.5,7603984,24575826,6.47524e+09,15313888,2.88531e+09,0,0,0,0,5999899,9283728,1.13045e+09,9.36055e+09
msa,4,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",63278,9313989,24552536,33945.8,7603984,24552537,3.82653e+09,15299954,6.64369e+08,0,0,0,0,5985965,9260439,2.59928e+08,4.4909e+09
msa,4,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",63278,9313989,24543440,32509.4,7603984,24543441,2.99595e+09,15294452,5.17645e+08,0,0,0,0,5980463,9251343,2.0241e+08,3.5136e+09
msa,4,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",63278,9313989,24536883,31449.8,7603984,24536884,2.4572e+09,15290427,4.38441e+08,0,0,0,0,5976438,9244786,1.7137e+08,2.89564e+09
msa,4,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",63278,9313989,24534136,31206.7,7603984,24534137,2.15204e+09,15288779,4.07728e+08,0,0,0,0,5974790,9242039,1.59338e+08,2.55977e+09
msa,4,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",63278,9313989,24532932,31227.2,7603984,24532933,2.02639e+09,15287960,3.97403e+08,0,0,0,0,5973971,9240835,1.55291e+08,2.42379e+09
msa,5,"A* with IndexedHeap (D=2)",63685,12721135,32892767,52245.7,7603984,20320516,6.45353e+08,12721135,5.03097e+09,0,0,12572252,1.79811e+09,0,12572252,0,7.47443e+09
msa,5,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",63685,12721135,32890860,53976.5,7690384,32890861,8.44629e+09,21043449,3.828e+09,0,0,0,0,8322314,12570345,1.51391e+09,1.22743e+10
