environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns
random_grid,0,"A* with IndexedHeap (D=2)",21293,19960907,21934413,4384.71,610772,19960912,5.97402e+08,19960907,1.91188e+09,0,0,1973502,6.66387e+07,0,1973502,0,2.57592e+09
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",21293,19960907,21932366,3600.34,1897204,21932367,1.25467e+09,21932360,6.07657e+08,0,0,0,0,1971453,1971455,5.4621e+07,1.86233e+09
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=2, b=1)",21293,19960907,21899867,2915.37,2071284,21899868,7.25548e+08,21899861,5.15564e+08,0,0,0,0,1938954,1938956,4.56466e+07,1.24111e+09
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=3, b=1)",21293,19960908,21747727,2750.08,2133236,21747728,6.25295e+08,21747722,4.71801e+08,0,0,0,0,1786814,1786816,3.87636e+07,1.0971e+09
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=4, b=1)",21293,19960908,21674688,2637.99,2141940,21674689,5.6279e+08,21674683,4.45323e+08,0,0,0,0,1713775,1713777,3.52108e+07,1.00811e+09
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",21293,19960908,21631538,2611.79,2143988,21631539,5.46782e+08,21631533,4.32603e+08,0,0,0,0,1670625,1670627,3.34103e+07,9.79385e+08
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",21293,19960908,21546590,2502.16,2144244,21546591,4.85743e+08,21546585,3.97265e+08,0,0,0,0,1585677,1585679,2.92359e+07,8.83008e+08
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=15, b=1)",21293,19960908,21518665,2471.44,2144244,21518666,4.64279e+08,21518660,3.868e+08,0,0,0,0,1557752,1557754,2.80008e+07,8.51079e+08
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=20, b=1)",21293,19960909,21504347,2443.73,2144244,21504348,4.54829e+08,21504343,3.81569e+08,0,0,0,0,1543434,1543436,2.73864e+07,8.36398e+08
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",21293,19960909,21495903,2449.87,2144244,21495904,4.48852e+08,21495899,3.78905e+08,0,0,0,0,1534990,1534992,2.7057e+07,8.27757e+08
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",21293,19960909,21479133,2441.23,2144244,21479134,4.35871e+08,21479129,3.72396e+08,0,0,0,0,1518220,1518222,2.63222e+07,8.08266e+08
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",21293,19960909,21470579,2452.84,2144244,21470580,4.23692e+08,21470575,3.69436e+08,0,0,0,0,1509666,1509668,2.59762e+07,7.93128e+08
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",21293,19960909,21467751,2465.91,2144244,21467752,4.18258e+08,21467747,3.67661e+08,0,0,0,0,1506838,1506840,2.58064e+07,7.85919e+08
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",21293,19960909,21466351,2475.46,2144244,21466352,4.17305e+08,21466347,3.69422e+08,0,0,0,0,1505438,1505440,2.59076e+07,7.86727e+08
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=250, b=1)",21293,19960909,21465582,2486.24,2144244,21465583,4.16729e+08,21465578,3.69442e+08,0,0,0,0,1504669,1504671,2.58967e+07,7.8617e+08
random_grid,1,"A* with IndexedHeap (D=2)",21315,19957548,21925229,4244.49,2144244,19957554,4.90642e+08,19957548,1.89446e+09,0,0,1967676,6.56658e+07,0,1967676,0,2.45077e+09
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",21315,19957548,21923262,3223.86,2221908,21923263,9.36336e+08,21923256,5.96155e+08,0,0,0,0,1965708,1965709,5.34531e+07,1.53249e+09
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=2, b=1)",21315,19957548,21890816,2825.86,2221908,21890817,6.5647e+08,21890810,5.06899e+08,0,0,0,0,1933262,1933263,4.47662e+07,1.16337e+09
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=3, b=1)",21315,19957548,21739310,2700.61,2221908,21739311,5.87301e+08,21739304,4.70374e+08,0,0,0,0,1781756,1781757,3.85519e+07,1.05767e+09
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=4, b=1)",21315,19957548,21666509,2629.12,2221908,21666510,5.60254e+08,21666504,4.4251e+08,0,0,0,0,1708956,1708956,3.49032e+07,1.00276e+09
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",21315,19957548,21623170,2594.5,2221908,21623171,5.39464e+08,21623164,4.2859e+08,0,0,0,0,1665616,1665617,3.3014e+07,9.68054e+08
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",21315,19957548,21538533,2488.6,2221908,21538534,4.86136e+08,21538527,3.98185e+08,0,0,0,0,1580979,1580980,2.92277e+07,8.84321e+08
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=15, b=1)",21315,19957548,21510943,2444.68,2221908,21510944,4.64962e+08,21510938,3.86934e+08,0,0,0,0,1553390,1553390,2.7942e+07,8.51896e+08
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=20, b=1)",21315,19957548,21496734,2422.39,2221908,21496735,4.53041e+08,21496729,3.82483e+08,0,0,0,0,1539181,1539181,2.73861e+07,8.35524e+08
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",21315,19957548,21488906,2416.2,2221908,21488907,4.47459e+08,21488901,3.80494e+08,0,0,0,0,1531353,1531353,2.71149e+07,8.27953e+08
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",21315,19957548,21471759,2409.13,2221908,21471760,4.35328e+08,21471754,3.73664e+08,0,0,0,0,1514206,1514206,2.63511e+07,8.08992e+08
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",21315,19957548,21463257,2493.04,2221908,21463258,4.29825e+08,21463252,3.75643e+08,0,0,0,0,1505704,1505704,2.63523e+07,8.05468e+08
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",21315,19957548,21460366,2704.47,2221908,21460367,4.34276e+08,21460361,3.8289e+08,0,0,0,0,1502813,1502813,2.68128e+07,8.17166e+08
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",21315,19957548,21459006,2695.88,2221908,21459007,4.3224e+08,21459001,3.8288e+08,0,0,0,0,1501453,1501453,2.67896e+07,8.1512e+08
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=250, b=1)",21315,19957548,21458139,2696.46,2221908,21458140,4.3454e+08,21458134,3.79184e+08,0,0,0,0,1500586,1500586,2.65167e+07,8.13725e+08
random_grid,2,"A* with IndexedHeap (D=2)",21260,19959908,21931206,4542.67,2221908,19959915,5.00575e+08,19959908,1.97577e+09,0,0,1971292,6.78017e+07,0,1971292,0,2.54414e+09
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",21260,19959908,21928860,3186.91,2256608,21928861,8.87586e+08,21928851,5.87766e+08,0,0,0,0,1968943,1968946,5.27742e+07,1.47535e+09
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=2, b=1)",21260,19959908,21896258,2817.71,2256608,21896259,6.46977e+08,21896249,4.96001e+08,0,0,0,0,1936341,1936344,4.38626e+07,1.14298e+09
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=3, b=1)",21260,19959908,21744220,2689.76,2256608,21744221,5.92283e+08,21744211,4.57243e+08,0,0,0,0,1784303,1784306,3.75208e+07,1.04953e+09
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=4, b=1)",21260,19959908,21671185,2628.13,2256608,21671186,5.60144e+08,21671176,4.38016e+08,0,0,0,0,1711268,1711271,3.4588e+07,9.98159e+08
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",21260,19959908,21628688,2582.56,2256608,21628689,5.30638e+08,21628679,4.26868e+08,0,0,0,0,1668771,1668774,3.29352e+07,9.57506e+08
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",21260,19959908,21544415,2493.28,2256608,21544416,4.82206e+08,21544406,3.95556e+08,0,0,0,0,1584498,1584501,2.90915e+07,8.77763e+08
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=15, b=1)",21260,19959908,21516556,2450.35,2256608,21516557,4.61976e+08,21516547,3.86065e+08,0,0,0,0,1556639,1556642,2.79303e+07,8.48042e+08
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=20, b=1)",21260,19959908,21502510,2456.46,2256608,21502511,4.561e+08,21502501,3.83686e+08,0,0,0,0,1542593,1542596,2.75257e+07,8.39786e+08
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",21260,19959908,21493938,2430.17,2256608,21493939,4.47386e+08,21493929,3.77787e+08,0,0,0,0,1534021,1534024,2.69626e+07,8.25173e+08
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",21260,19959908,21477011,2416.65,2256608,21477012,4.35019e+08,21477002,3.72278e+08,0,0,0,0,1517094,1517097,2.6297e+07,8.07297e+08
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",21260,19959908,21468726,2416.28,2256608,21468727,4.23309e+08,21468717,3.69208e+08,0,0,0,0,1508809,1508812,2.59477e+07,7.92517e+08
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",21260,19959908,21465992,2429.6,2256608,21465993,4.1863e+08,21465983,3.69213e+08,0,0,0,0,1506075,1506078,2.59043e+07,7.87843e+08
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",21260,19959908,21464645,2453.9,2256608,21464646,4.17073e+08,21464636,3.69091e+08,0,0,0,0,1504728,1504731,2.58743e+07,7.86165e+08
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=250, b=1)",21260,19959908,21463808,2456.88,2256608,21463809,4.15504e+08,21463799,3.67576e+08,0,0,0,0,1503891,1503894,2.57547e+07,7.8308e+08
random_grid,3,"A* with IndexedHeap (D=2)",21222,19954884,21921568,4207.41,2256608,19954891,4.89834e+08,19954884,1.89194e+09,0,0,1966678,6.5459e+07,0,1966678,0,2.44723e+09
random_grid,3,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",21222,19954884,21919581,3208.01,2258068,21919582,8.9495e+08,21919575,6.01666e+08,0,0,0,0,1964691,1964691,5.39284e+07,1.49662e+09
random_grid,3,"A* with AggregatedTwoLevelBucketQueue (a=2, b=1)",21222,19954884,21887260,2852.04,2258068,21887261,6.65578e+08,21887254,5.05483e+08,0,0,0,0,1932370,1932370,4.46278e+07,1.17106e+09
random_grid,3,"A* with AggregatedTwoLevelBucketQueue (a=3, b=1)",21222,19954884,21735850,2707.43,2258068,21735851,5.98904e+08,21735844,4.68736e+08,0,0,0,0,1780960,1780960,3.84066e+07,1.06764e+09
random_grid,3,"A* with AggregatedTwoLevelBucketQueue (a=4, b=1)",21222,19954884,21662249,2617.16,2258068,21662250,5.54437e+08,21662243,4.4446e+08,0,0,0,0,1707359,1707359,3.50311e+07,9.98897e+08
random_grid,3,"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",21222,19954884,21620019,2571.97,2258068,21620020,5.32448e+08,21620013,4.2937e+08,0,0,0,0,1665129,1665129,3.30692e+07,9.61818e+08
random_grid,3,"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",21222,19954884,21535238,2477.77,2258068,21535239,4.84833e+08,21535232,3.97361e+08,0,0,0,0,1580348,1580348,2.91601e+07,8.82194e+08
