algorithm_description,avg_time_per_node_ns,nodes_expanded,count_enqueue,avg_time_enqueue_ns,count_dequeue,avg_time_dequeue_ns,total_overhead_ms
"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",462.3227954081421,13445098.31,24427825.47,26.520683784251556,13846984.8,25.654588717775674,1051.5181792
"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",446.1176623693844,13449707.78,24422256.29,22.656113638013327,13847798.17,20.782763720310964,865.7218168100001
"A* with AggregatedTwoLevelBucketQueue (a=15, b=1)",444.4447206300037,13448830.16,24406275.75,22.277838055473453,13841883.74,19.83711582709752,839.0571980999999
"A* with AggregatedTwoLevelBucketQueue (a=2, b=1)",457.8648070224125,13445934.18,24428664.52,25.04789335657611,13847725.07,23.959739378618078,983.1426003
"A* with AggregatedTwoLevelBucketQueue (a=20, b=1)",442.4217331943671,13452945.78,24397926.12,21.933142894355584,13840257.19,19.230477970875,822.63751383
"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",440.6063740381707,13448379.99,24374164.52,21.813522801350537,13830410.67,18.907697332201725,811.42516341
"A* with AggregatedTwoLevelBucketQueue (a=3, b=1)",454.8623503415061,13444546.64,24425531.29,24.3692306504454,13846175.91,23.263844067738525,950.8305064
"A* with AggregatedTwoLevelBucketQueue (a=4, b=1)",451.5950502481174,13445791.27,24426753.54,23.853180715706745,13847167.74,22.733336780618938,928.2582829999999
"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",452.23302758024505,13447882.53,24429147.41,23.5856796253004,13848971.54,22.384255760676332,914.4635282
A* with IndexedHeap (D=2),791.9346155986982,13444847.87,23241169.25,45.6717959120659,13444847.87,135.72298061953953,3817.5399039
ANA* with BucketHeap (D=2),521.9064019439825,14833612.46,18287355.89,28.62013637664086,18287355.89,34.15491607051682,1138.4500156000001
ANA* with IndexedHeap (D=2),744.7175320862917,14864691.5,16909921.3,55.943477780271024,16909921.3,125.19043643522959,4608.5128293
"ANA* with RealBucketHeap (a=1, b=1, D=2)",526.0537851769765,14863150.5,18342642.51,31.145305268527423,18342642.51,34.668275428395965,1199.4039533
"ANA* with RealBucketHeap (a=10, b=1, D=2)",509.43601001835555,14840471.89,18113214.85,26.90004072448607,18113214.85,27.683674908049547,991.3701566000001
"ANA* with RealBucketHeap (a=15, b=1, D=2)",505.82656988991835,14736984.14,18061383.09,26.08413084214382,18061383.09,26.199515050128742,951.6910237
"ANA* with RealBucketHeap (a=2, b=1, D=2)",520.3094791512862,14866119.49,18320829.55,29.446781287880206,18320829.55,32.456204035822864,1129.5595759
"ANA* with RealBucketHeap (a=20, b=1, D=2)",503.9687257629288,14768093.4,17945287.84,25.521220679292426,17945287.84,25.248780484867666,918.1913071
"ANA* with RealBucketHeap (a=25, b=1, D=2)",506.38206402910987,14720868.31,17868725.74,25.045027952165714,17868725.74,24.511555350085086,894.6972043000001
"ANA* with RealBucketHeap (a=3, b=1, D=2)",516.7067169670628,14865147.38,18326956.38,28.71286324934927,18326956.38,31.42967135308377,1098.4688868
"ANA* with RealBucketHeap (a=4, b=1, D=2)",515.2409470097331,14797540.88,18246811.61,28.287256721915405,18246811.61,30.697996322443988,1073.0322245
"ANA* with RealBucketHeap (a=5, b=1, D=2)",512.6958148696804,14788724.37,18076862.59,27.883094450585837,18076862.59,30.018636080543857,1046.2471132
