algorithm_description,avg_time_per_node_ns,nodes_expanded,count_enqueue,avg_time_enqueue_ns,count_dequeue,avg_time_dequeue_ns,total_overhead_ms
ANA* with BucketHeap (D=2),521.9064019439825,14833612.46,18287355.89,28.62013637664086,18287355.89,34.15491607051682,1138.4500156000001
ANA* with IndexedHeap (D=2),744.7175320862917,14864691.5,16909921.3,55.943477780271024,16909921.3,125.19043643522959,4608.5128293
"ANA* with RealBucketHeap (a=1, b=1, D=2)",526.0537851769765,14863150.5,18342642.51,31.145305268527423,18342642.51,34.668275428395965,1199.4039533
"ANA* with RealBucketHeap (a=10, b=1, D=2)",509.43601001835555,14840471.89,18113214.85,26.90004072448607,18113214.85,27.683674908049547,991.3701566000001
"ANA* with RealBucketHeap (a=15, b=1, D=2)",505.82656988991835,14736984.14,18061383.09,26.08413084214382,18061383.09,26.199515050128742,951.6910237
"ANA* with RealBucketHeap (a=2, b=1, D=2)",520.3094791512862,14866119.49,18320829.55,29.446781287880206,18320829.55,32.456204035822864,1129.5595759
"ANA* with RealBucketHeap (a=20, b=1, D=2)",503.9687257629288,14768093.4,17945287.84,25.521220679292426,17945287.84,25.248780484867666,918.1913071
"ANA* with RealBucketHeap (a=25, b=1, D=2)",506.38206402910987,14720868.31,17868725.74,25.045027952165714,17868725.74,24.511555350085086,894.6972043000001
"ANA* with RealBucketHeap (a=3, b=1, D=2)",516.7067169670628,14865147.38,18326956.38,28.71286324934927,18326956.38,31.42967135308377,1098.4688868
"ANA* with RealBucketHeap (a=4, b=1, D=2)",515.2409470097331,14797540.88,18246811.61,28.287256721915405,18246811.61,30.697996322443988,1073.0322245
"ANA* with RealBucketHeap (a=5, b=1, D=2)",512.6958148696804,14788724.37,18076862.59,27.883094450585837,18076862.59,30.018636080543857,1046.2471132
