algorithm_description,avg_time_per_node_ns,nodes_expanded,count_enqueue,avg_time_enqueue_ns,count_dequeue,avg_time_dequeue_ns,total_overhead_ms
"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",462.3227954081421,13445098.31,24427825.47,26.520683784251556,13846984.8,25.654588717775674,1051.5181792
"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",446.1176623693844,13449707.78,24422256.29,22.656113638013327,13847798.17,20.782763720310964,865.7218168100001
"A* with AggregatedTwoLevelBucketQueue (a=15, b=1)",444.4447206300037,13448830.16,24406275.75,22.277838055473453,13841883.74,19.83711582709752,839.0571980999999
"A* with AggregatedTwoLevelBucketQueue (a=2, b=1)",457.8648070224125,13445934.18,24428664.52,25.04789335657611,13847725.07,23.959739378618078,983.1426003
"A* with AggregatedTwoLevelBucketQueue (a=20, b=1)",442.4217331943671,13452945.78,24397926.12,21.933142894355584,13840257.19,19.230477970875,822.63751383
"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",440.6063740381707,13448379.99,24374164.52,21.813522801350537,13830410.67,18.907697332201725,811.42516341
"A* with AggregatedTwoLevelBucketQueue (a=3, b=1)",454.8623503415061,13444546.64,24425531.29,24.3692306504454,13846175.91,23.263844067738525,950.8305064
"A* with AggregatedTwoLevelBucketQueue (a=4, b=1)",451.5950502481174,13445791.27,24426753.54,23.853180715706745,13847167.74,22.733336780618938,928.2582829999999
"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",452.23302758024505,13447882.53,24429147.41,23.5856796253004,13848971.54,22.384255760676332,914.4635282
A* with IndexedHeap (D=2),791.9346155986982,13444847.87,23241169.25,45.6717959120659,13444847.87,135.72298061953953,3817.5399039
