algorithm_description,avg_time_per_node_ns,nodes_expanded,count_enqueue,avg_time_enqueue_ns,count_dequeue,avg_time_dequeue_ns,total_overhead_ms
"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",436.2347535535597,9704499.53,17677400.15,19.757876725900108,9842565.65,20.717793664204347,563.0615675
"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",442.158565535827,10258958.09,18529887.07,19.05372748013026,10368176.43,17.634315359554975,547.0968356
"A* with AggregatedTwoLevelBucketQueue (a=15, b=1)",431.0510046674798,10540546.85,19050322.46,18.852107965172525,10648721.81,17.425758854050358,553.0754593
"A* with AggregatedTwoLevelBucketQueue (a=2, b=1)",437.88235610756857,9644744.84,17554412.88,19.49371605452797,9777850.98,19.368685398499018,540.7583812
"A* with AggregatedTwoLevelBucketQueue (a=20, b=1)",437.53167961896355,10506072.13,18930280.42,18.775650458818735,10605798.48,17.290910485401053,545.8898528
"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",442.85668472489255,11826785.29,21307426.03,18.94795438474016,11947768.46,17.55317038192463,646.2041751
"A* with AggregatedTwoLevelBucketQueue (a=3, b=1)",440.24980645037346,9891747.12,17955122.7,19.59748386959837,10021605.29,18.772181830646645,546.4719566
"A* with AggregatedTwoLevelBucketQueue (a=4, b=1)",440.2726129410385,9796420.37,17768902.39,19.337394636871547,9919231.07,18.317762852171665,532.6271737
"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",436.3767003434251,9726709.45,17627748.91,19.244608432231825,9843657.45,18.04622773252479,524.8357912
A* with IndexedHeap (D=2),743.8440510165402,9653953.05,16979317.96,44.03716153960958,9653953.05,105.33671519346895,2221.0819046

