algorithm_description,avg_time_per_node_ns,nodes_expanded,count_enqueue,avg_time_enqueue_ns,count_dequeue,avg_time_dequeue_ns,total_overhead_ms
"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",2180.7528068998686,25297026.833333332,51597051.166666664,28.516787487386807,33743814.666666664,22.982380649375514,2295.405
"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",2128.961614332481,25297027.666666668,53997362.5,24.94819944562724,35138826.5,22.045835739763177,2162.795
"A* with AggregatedTwoLevelBucketQueue (a=15, b=1)",2092.3010225185194,25297031.666666668,54113064.5,24.552546106943893,35209169.666666664,21.975146727297428,2130.4916666666663
"A* with AggregatedTwoLevelBucketQueue (a=20, b=1)",2096.9586397242333,25297031.166666668,54163740.333333336,24.23619178162824,35238695.166666664,21.826489171084855,2113.915
"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",2111.726093403619,25297030.666666668,54191725.166666664,24.041570011347233,35254999.333333336,21.823652325152036,2100.5733333333333
"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",2144.0561461862912,25297027.333333332,53659520.0,26.1712003951845,34940494.333333336,22.523236451521043,2225.8416666666667
A* with IndexedHeap (D=2),2694.9837677525707,25297025.333333332,37823236.666666664,37.86992515500773,25297025.333333332,238.67943386086816,9804.608333333334
ANA* with BucketHeap (D=2),2974.4942721577795,25302129.666666668,33801751.166666664,32.47619299991272,33801751.166666664,28.575476494666358,2115.3616666666667
ANA* with IndexedHeap (D=2),3475.4862311057477,25304118.5,25307932.833333332,42.08198338782202,25307932.833333332,286.41172672378644,10594.136666666667
"ANA* with RealBucketHeap (a=1, b=1, D=2)",2961.910215369233,25302129.666666668,33801751.166666664,34.000146398230875,33801751.166666664,27.41168120144914,2113.6953333333336
"ANA* with RealBucketHeap (a=10, b=1, D=2)",2681.1337607123664,25313603.5,35267878.666666664,27.300855788017984,35267878.666666664,25.584766543476746,1898.4648333333334
"ANA* with RealBucketHeap (a=15, b=1, D=2)",2646.1788383002736,25321038.0,35364987.5,26.577956109254092,35364987.5,25.366219095325658,1866.7425
"ANA* with RealBucketHeap (a=20, b=1, D=2)",2654.9916517954684,25310238.0,35345141.0,26.116122919473764,35345141.0,25.244899420175113,1835.2613333333331
"ANA* with RealBucketHeap (a=25, b=1, D=2)",2622.0305347777758,25322990.0,35414311.5,25.781512564133376,35414311.5,25.11977497950936,1829.8258333333333
"ANA* with RealBucketHeap (a=5, b=1, D=2)",2785.2482789013397,25303873.5,35007472.0,29.415994182383134,35007472.0,26.221789397761103,1981.1728333333333
