environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns
random_grid,0,"A* with IndexedHeap (D=2)",37189,19960913,20979132,7762.84,610904,19960913,7.84047e+08,19960913,2.93907e+09,0,0,1018220,4.26932e+07,0,1018220,0,3.76581e+09
random_grid,0,"A* with BucketQueue",37189,19960913,20764174,3923.35,610904,20764175,5.89599e+08,20764175,4.63636e+08,0,0,0,0,803262,803262,1.79357e+07,1.05324e+09
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",37189,19960913,20978811,7742.95,3855964,20978812,3.30088e+09,20978812,1.25267e+09,0,0,0,0,1017899,1017899,6.07801e+07,4.55355e+09
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",37189,19960913,20843775,4866.98,3995612,20843776,1.07234e+09,20843776,7.27807e+08,0,0,0,0,882863,882863,3.08271e+07,1.80015e+09
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",37189,19960913,20803834,4206.86,4005724,20803835,8.24249e+08,20803835,6.07451e+08,0,0,0,0,842922,842922,2.46125e+07,1.4317e+09
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",37189,19960913,20780109,3808.09,4006108,20780110,6.70226e+08,20780110,5.32058e+08,0,0,0,0,819197,819197,2.09749e+07,1.20228e+09
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",37189,19960913,20772174,3638.41,4006108,20772175,6.16035e+08,20772175,5.05041e+08,0,0,0,0,811262,811262,1.97245e+07,1.12108e+09
random_grid,0,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",37189,19960913,20768166,3719.9,4006108,20768167,5.95962e+08,20768167,5.04943e+08,0,0,0,0,807254,807254,1.9627e+07,1.10091e+09
random_grid,1,"A* with IndexedHeap (D=2)",37140,19957550,20970578,7042.44,4006108,19957555,6.49235e+08,19957550,2.91268e+09,0,0,1013024,4.20351e+07,0,1013024,0,3.60395e+09
random_grid,1,"A* with BucketQueue",37140,19957550,20755872,3954.16,4006108,20755873,5.19346e+08,20755868,4.78741e+08,0,0,0,0,798318,798318,1.84135e+07,9.98086e+08
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",37140,19957550,20970239,7046.5,4588380,20970240,2.56283e+09,20970235,1.31037e+09,0,0,0,0,1012685,1012685,6.328e+07,3.87321e+09
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",37140,19957550,20835242,4393.8,4588380,20835243,9.4368e+08,20835238,7.24942e+08,0,0,0,0,877688,877688,3.05383e+07,1.66862e+09
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",37140,19957550,20795623,4120.66,4588380,20795624,7.89449e+08,20795619,6.13238e+08,0,0,0,0,838069,838069,2.47136e+07,1.40269e+09
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",37140,19957550,20771683,3758.13,4588380,20771684,6.83487e+08,20771679,5.40178e+08,0,0,0,0,814129,814129,2.11718e+07,1.22366e+09
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",37140,19957550,20763795,3680.94,4588380,20763796,6.30107e+08,20763791,5.18048e+08,0,0,0,0,806241,806241,2.01154e+07,1.14816e+09
random_grid,1,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",37140,19957550,20759824,4056.18,4588380,20759825,6.23346e+08,20759820,5.26554e+08,0,0,0,0,802270,802270,2.03488e+07,1.1499e+09
random_grid,2,"A* with IndexedHeap (D=2)",37004,19959916,20977818,6993.74,4588380,19959916,6.24135e+08,19959916,2.88971e+09,0,0,1017903,4.26239e+07,0,1017903,0,3.55647e+09
random_grid,2,"A* with BucketQueue",37004,19959916,20762280,3532.79,4588380,20762281,4.74614e+08,20762281,4.48403e+08,0,0,0,0,802365,802365,1.73287e+07,9.23017e+08
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",37004,19959916,20977496,6922.93,4723200,20977497,2.11349e+09,20977497,1.40791e+09,0,0,0,0,1017581,1017581,6.82951e+07,3.5214e+09
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",37004,19959916,20842338,4906.36,4723200,20842339,9.92753e+08,20842339,8.01643e+08,0,0,0,0,882423,882423,3.39399e+07,1.7944e+09
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",37004,19959916,20802357,4094.05,4723200,20802358,8.06747e+08,20802358,6.173e+08,0,0,0,0,842442,842442,2.49991e+07,1.42405e+09
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",37004,19959916,20778147,4443.55,4723200,20778148,7.19174e+08,20778148,5.79046e+08,0,0,0,0,818232,818232,2.28025e+07,1.29822e+09
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",37004,19959916,20770280,4811.76,4723200,20770281,6.95344e+08,20770281,5.7019e+08,0,0,0,0,810365,810365,2.22463e+07,1.26553e+09
random_grid,2,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",37004,19959916,20766301,4678.84,4723200,20766302,6.76078e+08,20766302,5.65823e+08,0,0,0,0,806386,806386,2.19717e+07,1.2419e+09
random_grid,3,"A* with IndexedHeap (D=2)",37043,19954885,20967104,7191.24,4723200,19954892,6.48626e+08,19954885,2.9219e+09,0,0,1012213,4.22608e+07,0,1012213,0,3.61279e+09
random_grid,3,"A* with BucketQueue",37043,19954886,20753287,3690.17,4723200,20753288,4.88404e+08,20753281,4.56204e+08,0,0,0,0,798395,798395,1.75505e+07,9.44608e+08
random_grid,3,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",37043,19954885,20966979,6524.31,4745764,20966980,2.09111e+09,20966973,1.27156e+09,0,0,0,0,1012088,1012088,6.1379e+07,3.36267e+09
random_grid,3,"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",37043,19954885,20832931,4213.08,4745764,20832932,9.21588e+08,20832925,6.96221e+08,0,0,0,0,878040,878040,2.93435e+07,1.61781e+09
random_grid,3,"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",37043,19954885,20793056,4225.83,4745764,20793057,8.20239e+08,20793050,6.31878e+08,0,0,0,0,838165,838165,2.54709e+07,1.45212e+09
random_grid,3,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",37043,19954886,20769129,4015.45,4745764,20769130,6.89862e+08,20769123,5.46433e+08,0,0,0,0,814237,814237,2.14225e+07,1.23629e+09
random_grid,3,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",37043,19954886,20761167,4143.39,4745764,20761168,6.6417e+08,20761161,5.3867e+08,0,0,0,0,806275,806275,2.09196e+07,1.20284e+09
random_grid,3,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",37043,19954886,20757193,3975.55,4745764,20757194,6.11301e+08,20757187,5.19205e+08,0,0,0,0,802301,802301,2.00682e+07,1.13051e+09
random_grid,4,"A* with IndexedHeap (D=2)",-1,11,10,0.02766,4745764,11,21825,11,380,0,0,0,0,0,0,0,22205
random_grid,4,"A* with BucketQueue",-1,11,10,0.08277,4745764,11,80064,11,366,0,0,0,0,0,0,0,80430
random_grid,4,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",-1,11,10,0.204339,4745764,11,201381,11,472,0,0,0,0,0,0,0,201853
random_grid,4,"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",-1,11,10,0.104701,4745764,11,103050,11,353,0,0,0,0,0,0,0,103403
random_grid,4,"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",-1,11,10,0.094751,4745764,11,93411,11,322,0,0,0,0,0,0,0,93733
random_grid,4,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",-1,11,10,0.088785,4745764,11,87471,11,323,0,0,0,0,0,0,0,87794
random_grid,4,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",-1,11,10,0.08632,4745764,11,85051,11,287,0,0,0,0,0,0,0,85338
random_grid,4,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",-1,11,10,0.086105,4745764,11,84668,11,314,0,0,0,0,0,0,0,84982
random_grid,5,"A* with IndexedHeap (D=2)",37086,19952940,20966976,6378.63,4745764,19952947,5.93489e+08,19952940,2.71929e+09,0,0,1014030,3.91309e+07,0,1014030,0,3.35191e+09
random_grid,5,"A* with BucketQueue",37086,19952942,20752920,3443.85,4745764,20752921,4.67989e+08,20752916,4.38193e+08,0,0,0,0,799974,799974,1.68913e+07,9.06182e+08
random_grid,5,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",37086,19952940,20966718,7097.64,4762100,20966719,2.01749e+09,20966712,1.49423e+09,0,0,0,0,1013772,1013772,7.22484e+07,3.51172e+09
random_grid,5,"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",37086,19952942,20832748,5301.09,4762100,20832749,1.02662e+09,20832744,8.68558e+08,0,0,0,0,879802,879802,3.66807e+07,1.89518e+09
random_grid,5,"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",37086,19952942,20792900,3970.12,4762100,20792901,7.65779e+08,20792896,5.95868e+08,0,0,0,0,839954,839954,2.40708e+07,1.36165e+09
