environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns
msa,0,"ANA* with IndexedHeap (D=2)",64036,9909735,17736842,58522.1,1616320,9932012,3.94352e+08,9932012,3.63209e+09,128,4.05941e+08,7804831,9.52522e+08,0,8323754,0,5.38491e+09
msa,0,"ANA* with BucketHeap (D=2)",64036,9910232,17737565,62292.8,6164700,17737566,5.84735e+09,17737566,5.28711e+09,128,1.71697e+06,0,0,7789646,8324493,2.32189e+09,1.11362e+10
msa,0,"ANA* with RealBucketHeap (a=25, b=1, D=2)",64036,9925797,17775863,55245.2,6164700,17775864,3.58311e+09,17775864,1.4072e+09,112,1.37894e+06,0,0,7815881,8365046,6.18734e+08,4.99169e+09
msa,0,"ANA* with RealBucketHeap (a=50, b=1, D=2)",64036,9921134,17709133,56547,6164700,17709134,3.25996e+09,17709134,1.05237e+09,92,1.17609e+06,0,0,7781208,8320052,4.62399e+08,4.3135e+09
msa,0,"ANA* with RealBucketHeap (a=100, b=1, D=2)",64036,9986778,17979421,53071.5,6164700,17979422,2.60354e+09,17979422,8.14951e+08,375,1.56462e+07,0,0,7680553,8542441,3.48135e+08,3.43414e+09
msa,0,"ANA* with RealBucketHeap (a=150, b=1, D=2)",64036,9996400,18108513,52928.1,6164700,18108514,2.31558e+09,18108514,7.42743e+08,199,8.15683e+06,0,0,7842996,8671154,3.2169e+08,3.06648e+09
msa,0,"ANA* with RealBucketHeap (a=200, b=1, D=2)",64036,9846772,17473106,51562.2,6164700,17473107,2.0936e+09,17473107,6.61501e+08,250,1.92551e+07,0,0,7361389,8034950,2.78689e+08,2.77435e+09
msa,1,"ANA* with IndexedHeap (D=2)",63973,11723130,20407018,70138.5,6164700,11723763,3.90376e+08,11723763,4.59764e+09,67,3.10296e+08,8683256,1.11562e+09,0,9130299,0,6.41393e+09
msa,1,"ANA* with BucketHeap (D=2)",63973,11723294,20407274,75169.2,6744196,20407275,6.51475e+09,20407275,6.02847e+09,67,859605,0,0,8678267,9130552,2.56363e+09,1.25441e+10
msa,1,"ANA* with RealBucketHeap (a=25, b=1, D=2)",63973,11889910,21066808,69689.7,6744196,21066809,4.6743e+09,21066809,1.63706e+09,65,818736,0,0,9170079,9790078,7.12589e+08,6.31218e+09
msa,1,"ANA* with RealBucketHeap (a=50, b=1, D=2)",63973,11858268,20883483,65805.4,6744196,20883484,3.70319e+09,20883484,1.15439e+09,55,782682,0,0,9015044,9604087,4.98332e+08,4.85837e+09
msa,1,"ANA* with RealBucketHeap (a=100, b=1, D=2)",63973,11976441,21495382,64934.4,6744196,21495383,3.13559e+09,21495383,9.64197e+08,376,1.54189e+07,0,0,9058184,10153131,4.06314e+08,4.11521e+09
msa,1,"ANA* with RealBucketHeap (a=150, b=1, D=2)",63973,11975526,21374002,64432.4,6744196,21374003,2.72167e+09,21374003,8.5085e+08,213,7.77597e+06,0,0,9141821,10031271,3.63915e+08,3.58029e+09
msa,1,"ANA* with RealBucketHeap (a=200, b=1, D=2)",63973,11946511,21187418,63289.2,6744196,21187419,2.43412e+09,21187419,8.03258e+08,377,3.25407e+07,0,0,8752363,9844521,3.3182e+08,3.26992e+09
msa,2,"ANA* with IndexedHeap (D=2)",64460,12333273,22156715,76369.6,6744196,12368059,5.3817e+08,12368059,4.77656e+09,127,3.9497e+08,9788657,1.24726e+09,0,10404753,0,6.95696e+09
msa,2,"ANA* with BucketHeap (D=2)",64460,12333302,22155867,81289.6,7048912,22155868,7.30461e+09,22155868,6.62843e+09,127,1.75246e+06,0,0,9746957,10403884,2.91602e+09,1.39348e+10
msa,2,"ANA* with RealBucketHeap (a=25, b=1, D=2)",64460,12632246,23384498,72615.8,7048912,23384499,5.07777e+09,23384499,1.733e+09,101,1.10678e+06,0,0,10742992,11671553,7.96152e+08,6.81188e+09
msa,2,"ANA* with RealBucketHeap (a=50, b=1, D=2)",64460,12394609,22341185,69628.2,7048912,22341186,4.03608e+09,22341186,1.19728e+09,124,1.39684e+06,0,0,9933983,10626883,5.32369e+08,5.23475e+09
msa,2,"ANA* with RealBucketHeap (a=100, b=1, D=2)",64460,12633333,23290664,69177,7048912,23290665,3.46683e+09,23290665,1.02294e+09,300,1.18064e+07,0,0,10412272,11533472,4.57313e+08,4.50157e+09
msa,2,"ANA* with RealBucketHeap (a=150, b=1, D=2)",64460,12654989,23432697,70893.8,7048912,23432698,3.04792e+09,23432698,9.48009e+08,329,1.40516e+07,0,0,10388208,11671596,4.20272e+08,4.00998e+09
msa,2,"ANA* with RealBucketHeap (a=200, b=1, D=2)",64460,12562271,23015496,68243.2,7048912,23015497,2.82764e+09,23015497,8.65637e+08,269,2.53702e+07,0,0,10170300,11256130,3.82516e+08,3.71865e+09
msa,3,"ANA* with IndexedHeap (D=2)",62655,1104492,1953236,4920.83,7048912,1104984,3.25354e+07,1104984,2.77355e+08,53,4.36201e+07,848253,6.94674e+07,0,941766,0,4.22978e+08
msa,3,"ANA* with BucketHeap (D=2)",62655,1104501,1953269,5784.55,7048912,1953270,1.06704e+09,1953270,5.80941e+08,53,401411,0,0,846257,941799,2.51693e+08,1.64838e+09
msa,3,"ANA* with RealBucketHeap (a=25, b=1, D=2)",62655,1116368,1993623,4537.62,7048912,1993624,2.92982e+08,1993624,2.22376e+08,53,405104,0,0,874506,982183,9.75454e+07,5.15763e+08
msa,3,"ANA* with RealBucketHeap (a=50, b=1, D=2)",62655,1107331,1968136,4420.84,7048912,1968137,2.40504e+08,1968137,1.67383e+08,70,652453,0,0,857502,956378,7.29276e+07,4.08539e+08
msa,3,"ANA* with RealBucketHeap (a=100, b=1, D=2)",62655,1120426,2073620,4370.99,7048912,2073621,2.23154e+08,2073621,1.44355e+08,137,4.70065e+06,0,0,934649,1059651,6.50657e+07,3.7221e+08
msa,3,"ANA* with RealBucketHeap (a=150, b=1, D=2)",62655,1107551,1987166,4170.25,7048912,1987167,1.84327e+08,1987167,1.18928e+08,68,2.72666e+06,0,0,877695,975275,5.25281e+07,3.05981e+08
msa,3,"ANA* with RealBucketHeap (a=200, b=1, D=2)",62655,1114121,2012839,4145.32,7048912,2012840,1.70511e+08,2012840,1.08556e+08,49,3.80538e+06,0,0,897344,1000635,4.83953e+07,2.82872e+08
msa,4,"ANA* with IndexedHeap (D=2)",63278,9532821,16527385,56395.2,7048912,9570719,3.5495e+08,9570719,3.4951e+09,29,3.27011e+08,6956667,8.88124e+08,0,7171347,0,5.06518e+09
msa,4,"ANA* with BucketHeap (D=2)",63278,9532542,16523151,60568.5,7048912,16523152,5.45115e+09,16523152,4.74301e+09,25,443330,0,0,6935748,7167831,1.99092e+09,1.01946e+10
msa,4,"ANA* with RealBucketHeap (a=25, b=1, D=2)",63278,9500576,16353971,53336.4,7048912,16353972,3.48272e+09,16353972,1.19114e+09,21,338404,0,0,6845773,7036076,4.9861e+08,4.67419e+09
msa,4,"ANA* with RealBucketHeap (a=50, b=1, D=2)",63278,9514554,16408470,53368.4,7048912,16408471,2.81085e+09,16408471,8.897e+08,20,292140,0,0,6886542,7090993,3.73402e+08,3.70084e+09
msa,4,"ANA* with RealBucketHeap (a=100, b=1, D=2)",63278,9907552,18157216,53740.2,7048912,18157217,2.48693e+09,18157217,8.17989e+08,443,1.76868e+07,0,0,7164211,8689834,3.2275e+08,3.32261e+09
msa,4,"ANA* with RealBucketHeap (a=150, b=1, D=2)",63278,9947090,18429705,54399.5,7048912,18429706,2.40444e+09,18429706,7.45556e+08,336,1.5956e+07,0,0,7433615,8961052,3.0072e+08,3.16596e+09
msa,4,"ANA* with RealBucketHeap (a=200, b=1, D=2)",63278,10064988,18821384,51768.7,7048912,18821385,2.04745e+09,18821385,7.04976e+08,536,4.67858e+07,0,0,7563914,9346305,2.83315e+08,2.79921e+09
msa,5,"ANA* with IndexedHeap (D=2)",63685,13119494,23028665,79813.5,7048912,13178164,5.39201e+08,13178164,5.03553e+09,108,8.82655e+08,9850502,1.27587e+09,0,10232323,0,7.73326e+09
msa,5,"ANA* with BucketHeap (D=2)",63685,13120809,23027919,84568.4,7434828,23027920,7.76716e+09,23027920,6.502e+09,110,1.62111e+06,0,0,9791561,10231577,2.76468e+09,1.42708e+10
msa,5,"ANA* with RealBucketHeap (a=25, b=1, D=2)",63685,13088706,22883587,77618.3,7434828,22883588,4.97452e+09,22883588,1.64233e+09,51,584138,0,0,9774390,10145281,7.01499e+08,6.61744e+09
msa,5,"ANA* with RealBucketHeap (a=50, b=1, D=2)",63685,13085882,22812025,73998.7,7434828,22812026,3.98988e+09,22812026,1.16464e+09,36,366557,0,0,9723074,10088537,4.96398e+08,5.15489e+09
msa,5,"ANA* with RealBucketHeap (a=100, b=1, D=2)",63685,13250786,23660041,73299,7434828,23660042,3.399e+09,23660042,9.83909e+08,222,9.43596e+06,0,0,10110077,10867243,4.2043e+08,4.39235e+09
msa,5,"ANA* with RealBucketHeap (a=150, b=1, D=2)",63685,13103387,22995054,71836,7434828,22995055,2.82909e+09,22995055,8.58859e+08,198,9.44673e+06,0,0,9705413,10201267,3.62495e+08,3.6974e+09
msa,5,"ANA* with RealBucketHeap (a=200, b=1, D=2)",63685,13381578,24019883,71835.1,7434828,24019884,2.74587e+09,24019884,8.60743e+08,350,2.74376e+07,0,0,10178340,11217694,3.64737e+08,3.63405e+09
